Speaker,word,norm_F1,Proactive,Reactive,Style,BirthYear,Sex,PartnerEthnicity,PhillyLiveTime,HighSchoolType,Occupation_Group,wordLength
S10,described,682,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,9
S10,divine,499,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,fries,737,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,like,745,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,height,963,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,i,901,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,806,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,fine,911,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i'm,758,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,3
S10,alike,741,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,tide,798,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,843,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,726,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,952,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,748,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,liked,685,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,i,930,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,like,795,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,by,984,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,2
S10,i,846,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,like,713,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,drive,925,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,like,664,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,768,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,644,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,669,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,715,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,865,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,like,749,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,911,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,disguise,823,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,8
S10,i,882,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,unlike,738,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,time,859,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,strikes,573,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
S10,delight,647,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
S10,types,677,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,i,655,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,847,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,677,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,like,654,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,buys,835,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,679,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,wiped,593,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,like,647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,632,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,divine,674,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,i,871,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,lights,857,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,like,663,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,800,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,980,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,like,748,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,685,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,knives,609,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,i,917,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,nightmares,511,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,10
S10,described,557,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,9
S10,like,624,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,dime,655,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,wiped,619,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,5
S10,like,773,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,627,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,657,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,797,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,i,922,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,delight,675,Weaker Proactive Control,Weaker Reactive Control,Read,1979,Female,Puerto Rican,Since high school,Public,Production,7
S10,i,662,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,i,647,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,1
S10,lights,847,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,6
S10,high,972,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,759,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
S10,like,736,Weaker Proactive Control,Weaker Reactive Control,Conversational,1979,Female,Puerto Rican,Since high school,Public,Production,4
